step,kl_to_pdag,kl_to_uniform,tv_to_theta,online_acc
0,0.1553964763879776,0.265796959400177,0.287983238697052,0.375
1,0.09073431044816971,0.17298614978790283,0.24141357839107513,0.435
2,0.06701226532459259,0.1313418298959732,0.21555636823177338,0.45166666666666666
3,0.024154623970389366,0.06771592795848846,0.15986546874046326,0.4525
4,0.026057343930006027,0.04979274421930313,0.14335086941719055,0.484
5,0.027677737176418304,0.037438586354255676,0.1159709244966507,0.5033333333333333
6,0.03607369586825371,0.031378135085105896,0.10973764955997467,0.5235714285714286
7,0.04967357963323593,0.04700140655040741,0.1335831731557846,0.533125
8,0.01582898572087288,0.01706228218972683,0.07477501034736633,0.5372222222222223
9,0.043863482773303986,0.018787506967782974,0.07574586570262909,0.5535
10,0.05908891558647156,0.03318990767002106,0.10644439607858658,0.5645454545454546
11,0.040408097207546234,0.04620005190372467,0.13572163879871368,0.575
12,0.04961585998535156,0.040673598647117615,0.11657440662384033,0.5861538461538461
13,0.023558251559734344,0.009543895721435547,0.05584419146180153,0.5921428571428572
14,0.05226244404911995,0.021398333832621574,0.07952722162008286,0.5993333333333334
15,0.09606017917394638,0.0621149018406868,0.11188759654760361,0.6028125
16,0.05349641293287277,0.04946136102080345,0.13056260347366333,0.6097058823529412
17,0.05550903081893921,0.051329728215932846,0.12848567962646484,0.6161111111111112
18,0.06617452949285507,0.03249545395374298,0.07214543223381042,0.6226315789473684
19,0.02829776518046856,0.039300233125686646,0.11567579954862595,0.627
20,0.01552149560302496,0.013454676605761051,0.07224839925765991,0.6302380952380953
21,0.03790369629859924,0.04614593833684921,0.09855546802282333,0.6327272727272727
22,0.03206402808427811,0.04579336941242218,0.11487442255020142,0.6358695652173914
23,0.023137658834457397,0.017040753737092018,0.07504597306251526,0.6370833333333333
24,0.024527695029973984,0.020954200997948647,0.08309058099985123,0.6398
25,0.02971697598695755,0.014095043763518333,0.07013426721096039,0.6423076923076924
26,0.043044619262218475,0.02230721525847912,0.08127160370349884,0.6431481481481481
27,0.061817705631256104,0.05748693272471428,0.15096530318260193,0.6451785714285714
28,0.05224437639117241,0.05557885020971298,0.12481682002544403,0.646896551724138
29,0.04645659774541855,0.02256610244512558,0.09725502133369446,0.6476666666666666
30,0.08119165152311325,0.04805774986743927,0.14317694306373596,0.65
31,0.056526586413383484,0.03020472452044487,0.10181892663240433,0.65375
32,0.028774261474609375,0.012353135272860527,0.05738433822989464,0.656060606060606
33,0.01646934077143669,0.018496159464120865,0.08271264284849167,0.6564705882352941
34,0.05299927294254303,0.034124575555324554,0.11503062397241592,0.659
35,0.0513373464345932,0.0205155611038208,0.08251626789569855,0.6605555555555556
36,0.04538407176733017,0.02007019706070423,0.07375432550907135,0.6632432432432432
37,0.020985271781682968,0.013811158016324043,0.06011347472667694,0.6643421052631578
38,0.02009502798318863,0.015384221449494362,0.06962332129478455,0.6655128205128205
39,0.05085502937436104,0.02105579525232315,0.09186190366744995,0.667
40,0.05583395063877106,0.03900829330086708,0.12692230939865112,0.6670731707317074
41,0.03831413388252258,0.02540719509124756,0.08300421386957169,0.6686904761904762
42,0.07431482523679733,0.028905093669891357,0.09676699340343475,0.668953488372093
43,0.06013866513967514,0.04763863608241081,0.1197378933429718,0.6688636363636363
44,0.04049862548708916,0.027369556948542595,0.09505636990070343,0.67
45,0.06875587999820709,0.03906019404530525,0.11411330103874207,0.6701086956521739
46,0.042720500379800797,0.022748874500393867,0.08577403426170349,0.6712765957446809
47,0.054484859108924866,0.025072578340768814,0.09380167722702026,0.6723958333333333
48,0.025145793333649635,0.016353247687220573,0.06830151379108429,0.6729591836734694
49,0.041022397577762604,0.013403368182480335,0.07052332162857056,0.6737
